Capital Investment Advisors;pts;78;12 pts;60;11-50;Capital Investment Advisors: ABN Newswire — Potential Kachi Production Increase Under Review ~ Capital Investment Advisors: Startacus — Understanding Capital Investment: A Brief Guide To Get You Started ~ Capital Investment Advisors: Washington Business Journal — Nearly full retail center near Fort Belvoir hits the market ~ Capital Investment Advisors: Washington Business Journal — Plans move forward for controversial Franconia apartments on current government center site
Efk Moen;;pts;89;16 pts;81;11-50;
Kimley-Horn;;pts;92;14 pts;74;5001-10000;Kimley-Horn: Seattle TechFlash — Firefly Park development 'on schedule' despite new tariffs ~ Kimley-Horn: Daily Herald — Barrington to revamp downtown streetscape with planters, seat walls, new trees ~ Kimley-Horn: The Orlando Sentinel — $270K study may finally answer: Why does Mount Dora smell funny? ~ Kimley-Horn: St Pete Catalyst — Optimism blooms for Pinellas Trail activation in St. Pete
Square;87;-5 pts;84;22 pts;94;1001-5000;Square: PYMNTS.com — Earnings Season Points to Point of Sale’s Evolution Beyond the Cash Register ~ Square: EIN Presswire — Payment Service Provider Market to Hit $140.91 Billion By 2034, Powering Seamless Transactions ~ Square: PYMNTS.com — Square Launches Customizable Unified POS App ~ Square: EIN Presswire — POS Software Market to Hit $45.05 Billion By 2030, Streamlining Retail Operations With POS Software
Velocity Technology Partners;91;3 pts;83;12 pts;96;11-50;
Trident Fund Services;;pts;82;2 pts;94;1;
Flexport;88;9 pts;70;11 pts;89;1001-5000;Flexport: Business Insider — The worst is yet to come: Trump's tariffs could mean even higher prices and empty shelves within weeks ~ Flexport: Boston Globe — Trump keeps contradicting himself on tariffs, making a fragile world economy nervous ~ Flexport: Benzinga.com — Trump's Trade War Causes Sharp Decline In US Imports From China ~ Flexport: Business Standard India — Trump's mixed signals on tariffs make fragile global economy nervous
Winwell Logistics;;pts;78;18 pts;84;;
Medical College of Georgia Foundation;;pts;72;46 pts;80;1-10;
RW Coatings;90;2 pts;86;1 pts;76;;
Alimera Sciences;49;1 pts;51;2 pts;;51-100;Alimera Sciences: EIN Presswire — Dry Age-Related Macular Degeneration Market Set to Grow at an Impressive CAGR of 8.30% Through 2032 | USD 8.61 Billion ~ Alimera Sciences: PharmiWeb.com — Alimera Sciences announces change to SmPC allowing all Un... ~ Alimera Sciences: PharmiWeb — Diabetic Retinopathy Market Size to Cross $15.1 Billion by 2035 ~ Alimera Sciences: TradingView — ANI Pharma rises after J.P.Morgan initiates coverage with 'overweight' rating
United Way of Greater Atlanta;;pts;40;6 pts;;1;
Multimicro Systems;;pts;91;35 pts;76;1-10;
Tax;;pts;87;5 pts;57;11-50;
Milend;;pts;91;10 pts;88;101-250;
MOL Consolidation;;pts;90;9 pts;80;101-250;
Office Evolution;89;-1 pts;85;20 pts;96;11-50;Office Evolution: PRNewswire — Office Evolution Continues Florida Expansion with New Jacksonville Opening ~ Office Evolution: Philadelphia Business Journal — Done Deals: Race Street Labs adds new tenant; Graduate Hospital multifamily portfolio sells ~ Office Evolution: Business Journals — Office Evolution growing in Jax as need for coworking space increases ~ Office Evolution: The Real Deal New York — The 10 largest co-working operators of 2022
CAR360;53;1 pts;48;6 pts;57;11-50;CAR360: Business Wire — Car360 Cites Venture Atlanta as the Connection Event that Led to its Acquisition by Carvana ~ CAR360: PRNewswire Asia — QuEST to Showcase Futuristic Aerospace Solutions at Farnborough International Airshow ~ CAR360: PRWeb — Darwin Labs And Clevest Launch Joint Clear360 Solution To Help Utilities Battle Covid-19 ~ CAR360: TechRockies — Carvana Buys Car360
IOU Financial;52;3 pts;61;-2 pts;;51-100;IOU Financial: Reuters — Iou Financial Q1 loss per share C$0.01 ~ IOU Financial: LinkedIn — IOU Financial on LinkedIn: Great news, brokers! 2024 is a Leap Year - meaning we have a whole… ~ IOU Financial: Reuters — IOU Financial announces private placement of up to $3.5 million
Securitas;95;7 pts;69;4 pts;;10001+;Securitas: PR Newswire UK — Notice of Annual General Meeting in Securitas AB ~ Securitas: MarketScreener — Securitas implements changes in Group Management ~ Securitas: Morningstar, Inc. — Securitas AB Full Year Report 2024 | January-December ~ Securitas: PR Newswire — Notice of Annual General Meeting in Securitas AB
